#,Date-time,Nest,Ambient
2,09/07/11 07:18:44 AM,25.793,21.628
3,09/07/11 07:19:44 AM,25.598,21.628
4,09/07/11 07:20:44 AM,25.453,21.557
5,09/07/11 07:21:44 AM,25.331,21.485
6,09/07/11 07:22:44 AM,25.234,21.533
7,09/07/11 07:23:44 AM,25.137,21.652
8,09/07/11 07:24:44 AM,25.04,21.581
9,09/07/11 07:25:44 AM,24.944,21.604
10,09/07/11 07:26:44 AM,24.871,21.604
11,09/07/11 07:27:44 AM,24.726,21.604
12,09/07/11 07:28:44 AM,32.381,21.604
13,09/07/11 07:29:44 AM,34.387,21.748
14,09/07/11 07:30:44 AM,35.475,21.7
15,09/07/11 07:31:44 AM,36.092,21.772
16,09/07/11 07:32:44 AM,36.308,21.748
17,09/07/11 07:33:44 AM,36.012,21.843
18,09/07/11 07:34:44 AM,35.985,21.819
19,09/07/11 07:35:44 AM,35.85,21.819
20,09/07/11 07:36:44 AM,35.689,21.915
21,09/07/11 07:37:44 AM,35.555,21.915
22,09/07/11 07:38:44 AM,35.075,21.939
23,09/07/11 07:39:44 AM,34.071,22.058
24,09/07/11 07:40:44 AM,34.757,22.034
25,09/07/11 07:41:44 AM,34.916,22.154
26,09/07/11 07:42:44 AM,35.049,22.154
27,09/07/11 07:43:44 AM,35.075,22.154
28,09/07/11 07:44:44 AM,35.075,22.274
29,09/07/11 07:45:44 AM,35.075,22.226
30,09/07/11 07:46:44 AM,35.155,22.298
31,09/07/11 07:47:44 AM,35.128,22.321
32,09/07/11 07:48:44 AM,35.102,22.393
33,09/07/11 07:49:44 AM,35.102,22.369
34,09/07/11 07:50:44 AM,35.075,22.417
35,09/07/11 07:51:44 AM,35.155,22.489
36,09/07/11 07:52:44 AM,35.128,22.513
37,09/07/11 07:53:44 AM,35.128,22.513
38,09/07/11 07:54:44 AM,35.102,22.609
39,09/07/11 07:55:44 AM,35.102,22.609
40,09/07/11 07:56:44 AM,35.075,22.561
41,09/07/11 07:57:44 AM,35.049,22.585
42,09/07/11 07:58:44 AM,35.022,22.585
43,09/07/11 07:59:44 AM,34.519,22.561
44,09/07/11 08:00:44 AM,34.624,22.609
45,09/07/11 08:01:44 AM,34.757,22.585
46,09/07/11 08:02:44 AM,35.422,22.537
47,09/07/11 08:03:44 AM,35.368,22.585
48,09/07/11 08:04:44 AM,35.368,22.681
49,09/07/11 08:05:44 AM,35.422,22.705
50,09/07/11 08:06:44 AM,35.208,22.705
51,09/07/11 08:07:44 AM,35.208,22.8
52,09/07/11 08:08:44 AM,35.235,22.872
53,09/07/11 08:09:44 AM,35.262,22.896
54,09/07/11 08:10:44 AM,35.262,22.968
55,09/07/11 08:11:44 AM,35.288,22.992
56,09/07/11 08:12:44 AM,35.262,22.992
57,09/07/11 08:13:44 AM,35.262,22.968
58,09/07/11 08:14:44 AM,35.235,22.944
59,09/07/11 08:15:44 AM,35.208,23.112
60,09/07/11 08:16:44 AM,35.182,23.088
61,09/07/11 08:17:44 AM,35.155,23.208
62,09/07/11 08:18:44 AM,35.315,23.208
63,09/07/11 08:19:44 AM,35.368,23.136
64,09/07/11 08:20:44 AM,35.422,23.112
65,09/07/11 08:21:44 AM,35.475,23.112
66,09/07/11 08:22:44 AM,35.529,23.088
67,09/07/11 08:23:44 AM,35.475,23.088
68,09/07/11 08:24:44 AM,35.502,23.16
69,09/07/11 08:25:44 AM,35.475,23.184
70,09/07/11 08:26:44 AM,35.475,23.136
71,09/07/11 08:27:44 AM,35.502,23.112
72,09/07/11 08:28:44 AM,35.502,23.112
73,09/07/11 08:29:44 AM,35.529,23.04
74,09/07/11 08:30:44 AM,35.529,23.016
